ANNOSCOLASTICO,CODICESCUOLA,CODICEEDIFICIO,SUPERAMENTOBARRIEREARCH,ACCESSORAMPE,SCALENORMA,ASCENSOREDISABILI,PIATTAFORMAELEVATRICE,SERVIZIIGIENICIDISABILI,PORTELARGHEZZADISABILI,PERCORSIINTERNIDISABILI,PERCORSIESTERNIDISABILI,ALTRIACCORGIMENTIDISABILI
201718,TAMM86701X,0730220268,SI,SI,SI,NO,NO,SI,SI,SI,NO,MONTASCALE A RUOTA
201718,KRMM818017,1010140939,SI,SI,NO,NO,NO,NO,NO,NO,NO,-
201718,APRC004016,1090360331,SI,SI,NO,SI,NO,SI,NO,SI,SI,-
201718,TOAA85403P,0012930001,SI,NO,SI,SI,NO,SI,SI,NO,NO,-
201718,TEAA83807C,0670410154,NO,-,-,-,-,-,-,-,-,-
201718,PAAA8AU02N,0820534516,SI,SI,SI,SI,NO,SI,SI,SI,NO,-
201718,CZAA86403X,0791600242,SI,SI,NO,NO,NO,SI,NO,NO,NO,-
201718,PRIC825008,0340270076,SI,SI,SI,SI,NO,SI,SI,SI,SI,-
201718,NARH01000V,0630490820,NO,-,-,-,-,-,-,-,-,-
201718,LOTD010003,0980313720,SI,NO,SI,NO,NO,SI,SI,SI,SI,-
201718,BRAA82601V,0740110103,SI,SI,SI,NO,NO,SI,SI,SI,SI,-
201718,MCMM820037,0430570755,SI,SI,SI,SI,NO,SI,SI,SI,SI,MANIGLIONI
201718,LTEE809019,0590241737,SI,SI,NO,NO,NO,SI,NO,NO,NO,-
201718,MIMM01900D,0151463331,NO,-,-,-,-,-,-,-,-,-
201718,VTMM81702D,0560230525,SI,SI,NO,NO,NO,SI,SI,SI,SI,-
201718,SAEE8AB05X,0651160093,SI,SI,SI,NO,NO,SI,NO,NO,NO,-
201718,BSAA89101D,0171860001,SI,SI,NO,NO,NO,SI,SI,SI,SI,-
201718,RCAA84203T,0800631102,SI,SI,NO,NO,NO,SI,SI,SI,SI,-
201718,BSIC858001,0170650556,SI,NO,NO,SI,NO,NO,NO,NO,NO,-
201718,CEPS01401G,0610272100,NO,-,-,-,-,-,-,-,-,-
201718,CETD12050X,0610190570,NO,-,-,-,-,-,-,-,-,-
201718,BSMM893019,0171250829,SI,SI,SI,SI,SI,SI,SI,SI,SI,-
201718,SAAA8BU02T,0650780852,SI,SI,NO,NO,SI,NO,NO,NO,NO,-
201718,PICT702004,0500390201,SI,SI,NO,SI,SI,SI,SI,NO,NO,-
201718,NAAA8C804B,0630490609,NO,-,-,-,-,-,-,-,-,-
201718,BAEE80802D,0720110499,NO,-,-,-,-,-,-,-,-,-
201718,LCEE82604P,0970421806,SI,SI,SI,SI,NO,SI,SI,SI,SI,-
201718,FRAA843032,0600260099,NO,-,-,-,-,-,-,-,-,-
201718,VEMM84401E,0270423495,SI,SI,SI,NO,NO,SI,SI,SI,SI,-
201718,FREE831031,0600250397,SI,NO,NO,NO,SI,SI,SI,SI,NO,-
201718,BGAA80703E,0160240005,NO,-,-,-,-,-,-,-,-,-
201718,SIAA805037,0520330008,SI,SI,NO,NO,NO,NO,SI,SI,NO,-
201718,TOEE091096,0010660008,NO,-,-,-,-,-,-,-,-,-
201718,BOAA86401E,0370600311,SI,SI,SI,SI,SI,SI,SI,SI,SI,-
201718,BAIC85000R,0720110392,SI,SI,NO,SI,NO,NO,NO,NO,NO,-
201718,PZTD02851V,0760480516,SI,SI,NO,SI,NO,SI,SI,SI,NO,-
201718,TOMM81901D,0012720301,SI,SI,SI,SI,SI,SI,SI,SI,SI,servoscala presente nella parte di Corso Marconi
201718,APAA840035,1090060157,SI,NO,SI,NO,NO,NO,SI,NO,NO,-
201718,SOIC82000G,0140610181,SI,SI,SI,NO,NO,NO,SI,SI,SI,-
201718,PVIC82900R,0181100083,SI,SI,SI,SI,SI,SI,SI,SI,NO,-
201718,TOAA899038,0011470001,SI,SI,NO,NO,NO,SI,SI,SI,SI,-
201718,BAEE17702T,0720460283,SI,SI,NO,SI,NO,SI,SI,SI,SI,-
201718,NUAA876039,0910510106,SI,SI,NO,NO,NO,SI,SI,SI,SI,-
201718,IMEE813019,0080550248,SI,SI,SI,NO,NO,NO,SI,NO,NO,-
201718,PAEE09500E,0820791776,SI,NO,SI,SI,NO,SI,SI,NO,NO,-
201718,GEAA824024,0100250025,NO,-,-,-,-,-,-,-,-,-
201718,CTEE04701N,0870091219,SI,NO,NO,SI,SI,SI,SI,SI,SI,-
201718,MIAA8EF018,0150362470,SI,SI,SI,SI,NO,SI,SI,SI,NO,-
201718,TEAA83604N,0670350120,SI,SI,SI,SI,NO,SI,SI,SI,SI,-
201718,PREE01601L,0340270386,SI,NO,SI,NO,NO,SI,SI,SI,SI,-
201718,SSAA805011,0900540112,SI,NO,NO,NO,NO,SI,SI,SI,SI,-
201718,AVTD00951C,0640250011,NO,-,-,-,-,-,-,-,-,-
201718,COIC840002,0131470316,SI,SI,SI,SI,NO,SI,NO,SI,SI,-
201718,ANIC83300C,0420450386,SI,SI,SI,SI,NO,SI,NO,SI,NO,-
201718,TSAA80702P,0320060048,SI,NO,NO,SI,NO,NO,NO,NO,NO,-
201718,PIEE824049,0500110401,SI,SI,SI,NO,NO,SI,SI,NO,NO,-
201718,VEAA809024,0270331503,SI,SI,NO,NO,NO,NO,SI,NO,NO,-
201718,AGEE85101V,0840291075,SI,SI,SI,NO,NO,SI,SI,SI,SI,-
201718,CZAA839048,0790170854,SI,SI,NO,SI,NO,NO,NO,NO,NO,-
201718,PDTD04000D,0280324157,SI,SI,SI,SI,NO,NO,NO,NO,NO,-
201718,VIEE88903E,0240863351,SI,SI,NO,SI,NO,SI,NO,NO,NO,-
201718,GEAA809022,0100250031,SI,SI,NO,SI,NO,NO,NO,NO,NO,-
201718,CEAA8AG019,0610810001,NO,-,-,-,-,-,-,-,-,-
201718,MEMM81604T,0830283485,NO,-,-,-,-,-,-,-,-,-
201718,MCEE80902C,0430070490,SI,SI,SI,NO,NO,NO,NO,SI,SI,-
201718,MCEE83701G,0430150146,SI,NO,NO,SI,NO,SI,NO,NO,NO,-
201718,PCEE81204E,0330240150,SI,SI,NO,NO,NO,NO,SI,NO,NO,-
201718,VIPC04000X,0240124242,SI,SI,SI,NO,NO,SI,SI,NO,SI,-
201718,SAAA8BE07V,0650891735,SI,SI,NO,NO,NO,SI,SI,NO,NO,-
201718,BNMM83702P,0620270643,SI,NO,SI,NO,NO,SI,SI,SI,NO,-
201718,BSEE88801V,0170480058,SI,SI,SI,NO,NO,SI,SI,NO,NO,-
201718,PGEE06000L,0540520581,SI,SI,SI,NO,SI,SI,NO,NO,NO,-
201718,APIC82900B,0440070252,SI,SI,SI,SI,NO,SI,NO,NO,NO,-
201718,BOPM030005,0370060396,SI,NO,SI,NO,NO,SI,SI,SI,NO,-
201718,CAAA823038,1110540313,SI,SI,SI,NO,NO,NO,SI,SI,SI,-
201718,MOAA829026,0360401962,NO,-,-,-,-,-,-,-,-,-
201718,RMAA8EB01D,0580910027,SI,SI,SI,SI,NO,SI,NO,SI,SI,-
201718,PZMM87402V,0760350001,NO,-,-,-,-,-,-,-,-,-
201718,BNAA862038,0620010732,SI,SI,SI,NO,NO,SI,SI,NO,NO,-
201718,SAIC8BF00G,0651270002,NO,-,-,-,-,-,-,-,-,-
201718,BRIS006001,0740031787,SI,NO,SI,NO,NO,SI,SI,SI,NO,-
201718,RMPC14000N,0580913271,SI,SI,NO,SI,NO,NO,SI,SI,SI,-
201718,RMIS10600X,0580471719,SI,SI,SI,SI,NO,SI,SI,NO,NO,-
201718,AVAA80702V,0641200811,NO,-,-,-,-,-,-,-,-,-
201718,BAPS06201N,0720060772,SI,NO,NO,NO,NO,NO,SI,NO,NO,-
201718,RNMM81401R,0990130387,SI,SI,SI,SI,NO,SI,SI,SI,NO,-
201718,NAEE185011,0630790011,SI,SI,NO,NO,NO,NO,NO,NO,NO,-
201718,CTEE067042,0870332159,NO,-,-,-,-,-,-,-,-,-
201718,BGEE83802A,0160620270,SI,SI,SI,NO,SI,SI,NO,SI,SI,-
201718,RMIC8DE00D,0580390192,SI,SI,NO,SI,NO,NO,NO,NO,NO,-
201718,SAMM8BQ018,0650980002,SI,SI,SI,SI,NO,SI,SI,NO,NO,-
201718,NOAA82703V,0031060031,SI,SI,SI,NO,SI,SI,SI,SI,SI,-
201718,CTEE89101P,0870372890,NO,-,-,-,-,-,-,-,-,-
201718,TOTD067018,0012720255,SI,SI,SI,SI,SI,SI,SI,SI,SI,-
201718,SRAA829023,0890174971,SI,SI,SI,SI,NO,SI,SI,SI,SI,-
201718,VCMM81502A,0021160004,NO,-,-,-,-,-,-,-,-,-
201718,PARI03601C,0820534804,SI,NO,SI,SI,NO,SI,NO,NO,NO,-
201718,TAIC810003,0730160259,SI,SI,NO,NO,NO,SI,NO,NO,NO,-
201718,SSEE805049,0900850712,SI,SI,SI,NO,NO,SI,SI,SI,SI,-
201718,VAEE866034,0120260129,SI,NO,SI,NO,SI,NO,NO,NO,NO,-
201718,RCEE809019,0800630253,NO,-,-,-,-,-,-,-,-,-
201718,CZMM82301Q,0790610190,NO,-,-,-,-,-,-,-,-,-
201718,NAAA8FP05C,0630060978,SI,SI,SI,NO,NO,SI,SI,NO,NO,-
201718,MEMM82402P,0830473592,SI,SI,SI,NO,NO,SI,SI,SI,SI,-
201718,CHAA817023,0690020193,SI,SI,SI,NO,NO,NO,SI,NO,NO,-
201718,PATL011015,0820784793,SI,NO,SI,NO,NO,NO,SI,SI,SI,-
201718,PITF00801V,0500260307,NO,-,-,-,-,-,-,-,-,-
201718,VEEE82202Q,0270312304,SI,SI,SI,NO,NO,NO,SI,SI,SI,-
201718,PGRI033012,0540390642,NO,-,-,-,-,-,-,-,-,-
201718,VIMM89001G,0241022892,SI,SI,SI,NO,NO,SI,SI,NO,SI,-
201718,REEE844041,0350300255,NO,-,-,-,-,-,-,-,-,-
201718,CNPC030005,0042030012,SI,SI,SI,SI,NO,SI,SI,SI,SI,-
201718,VAEE87703E,0120700190,SI,NO,SI,NO,SI,NO,SI,NO,NO,-
201718,LCTD00101G,0970480589,SI,SI,NO,NO,NO,SI,SI,SI,SI,-
201718,PTEE81502B,0470160004,SI,SI,SI,NO,NO,SI,SI,SI,SI,-
201718,VEMM868013,0270231620,SI,SI,SI,NO,NO,NO,NO,NO,NO,-
