ANNOSCOLASTICO,CODICESCUOLA,CODICEEDIFICIO,SCUOLABUS,TRASPORTIPUBBLICIURBANI,TRASPORTIPUBBLICIINTERURBANI,TRASPORTIFERROVIARI,MEZZIPRIVATI,TRASPORTODISABILI,PISTACICLABILE,ALTRO
202021,REMM06500T,0350200125,SI,NO,NO,NO,SI,NO,NON DEFINITO,-
202021,TVEE861019,0260581222,SI,SI,NO,SI,SI,SI,NON DEFINITO,-
202021,CSMM303009,0780330816,SI,SI,SI,NO,SI,SI,NON DEFINITO,-
202021,PZVC050002,0760800491,SI,SI,SI,NO,SI,SI,NON DEFINITO,-
202021,FGPC180008,0710200219,NO,NO,NO,NO,NO,NO,NON DEFINITO,-
202021,MTEE816012,0770240148,SI,SI,NO,NO,SI,SI,NON DEFINITO,-
202021,PGAA82902C,0540220147,NO,NO,NO,NO,NO,NO,NON DEFINITO,-
202021,CAMM89801Q,0920511080,SI,SI,NO,NO,SI,SI,NON DEFINITO,-
202021,BSEE8AM03B,0171330577,NO,NO,NO,NO,SI,NO,NON DEFINITO,-
202021,RERF050508,0350240319,NO,NO,SI,NO,SI,SI,NO,-
202021,SAEE8BR026,0650780857,NO,NO,NO,NO,NO,NO,NON DEFINITO,-
202021,FIAA81904T,0480540005,SI,NO,NO,NO,SI,NO,NON DEFINITO,-
202021,CSAA8AE04X,0781230709,SI,SI,SI,NO,SI,SI,NON DEFINITO,-
202021,MEMM857011,0831063755,NO,NO,NO,NO,NO,NO,NON DEFINITO,-
202021,LEEE81306X,0750581264,SI,NO,SI,NO,SI,SI,NON DEFINITO,-
202021,MOEE817058,0360050147,SI,SI,NO,NO,SI,SI,NON DEFINITO,-
202021,MNAA825037,0200650001,SI,NO,NO,NO,SI,NO,NON DEFINITO,-
202021,POIC818002,1000050051,NO,SI,SI,NO,SI,SI,SI,-
202021,AO1E004020,0070031900,SI,SI,SI,NO,SI,SI,NON DEFINITO,-
202021,BLEE82203C,0250722434,SI,SI,SI,NO,SI,NO,NON DEFINITO,-
202021,TPAA807044,0810172570,NO,NO,NO,NO,NO,NO,NON DEFINITO,-
202021,PGAA02307Q,0540131103,SI,NO,SI,NO,SI,NO,NON DEFINITO,-
202021,ROEE811068,0290362638,SI,SI,SI,NO,SI,SI,NON DEFINITO,-
202021,CTIC8AK00G,0870232468,SI,NO,SI,NO,SI,SI,NON DEFINITO,-
202021,TVEE854027,0260923779,SI,SI,NO,NO,SI,SI,SI,-
202021,PVAA81602L,0181620010,SI,SI,NO,NO,SI,NO,NON DEFINITO,-
202021,NAEE15200L,0630500223,SI,NO,NO,NO,SI,NO,NON DEFINITO,-
202021,PIMM82305D,0500300001,SI,NO,NO,NO,NO,NO,NON DEFINITO,-
202021,NAAA80201D,0630120002,SI,NO,SI,NO,SI,SI,NON DEFINITO,-
202021,SAEE8BT027,0650780842,SI,SI,SI,SI,NO,SI,NON DEFINITO,-
202021,COEE811025,0130430207,SI,SI,SI,NO,SI,SI,NON DEFINITO,-
202021,PAAA86406V,0820494592,SI,SI,NO,NO,SI,SI,NON DEFINITO,-
202021,CEAA8A7019,0610320136,SI,NO,SI,NO,SI,NO,NON DEFINITO,-
202021,TPEE82106N,0810113840,SI,SI,NO,NO,SI,NO,NON DEFINITO,-
202021,TOAA83701V,0010380001,SI,NO,SI,NO,SI,SI,SI,-
202021,PAAA8BA01Q,0820064971,NO,NO,NO,NO,SI,NO,NO,-
202021,AVAA87501C,0640921853,SI,SI,SI,NO,SI,SI,NON DEFINITO,-
202021,NAMM15900A,0630020085,SI,SI,NO,NO,SI,SI,NON DEFINITO,-
202021,FGAA856033,0710291202,SI,SI,SI,NO,SI,NO,NON DEFINITO,-
202021,AGAA82704X,0840091059,SI,SI,SI,NO,SI,SI,NO,-
202021,RCEE81401R,0800740593,NO,NO,NO,NO,NO,NO,NON DEFINITO,-
202021,TAMM845013,0730270004,SI,SI,NO,NO,SI,SI,NON DEFINITO,-
202021,BGRA03101L,0160240009,SI,SI,SI,NO,SI,SI,SI,-
202021,UDAA842035,0301290013,NO,SI,NO,NO,SI,SI,NO,-
202021,REMM84402T,0350300249,SI,NO,SI,NO,SI,NO,NO,-
202021,TOAA84001P,0012140002,SI,SI,NO,NO,SI,SI,NON DEFINITO,-
202021,MNAA813042,0200450086,SI,SI,NO,NO,SI,NO,NO,-
202021,NAAA86501L,0630471537,SI,SI,NO,NO,SI,NO,NO,-
202021,CSIS023003,0780481013,SI,SI,SI,NO,SI,NO,NON DEFINITO,-
202021,BNIC826006,0620640002,SI,NO,SI,NO,SI,SI,NON DEFINITO,-
202021,VAEE82601G,0121130788,SI,NO,NO,SI,SI,NO,NON DEFINITO,-
202021,TAPC070005,0730270010,SI,SI,SI,NO,SI,SI,SI,-
202021,AO1A009060,0070696900,SI,SI,NO,NO,SI,SI,NON DEFINITO,-
202021,BGMM87101X,0161900347,SI,SI,NO,NO,SI,SI,NON DEFINITO,-
202021,POAA81201X,1000050080,SI,SI,NO,NO,SI,NO,NO,-
202021,AGAA861029,0840174152,SI,SI,SI,NO,SI,SI,NON DEFINITO,-
202021,BAPS080006,1100011642,NO,SI,NO,NO,SI,SI,NON DEFINITO,-
202021,VIMM864013,0240212474,SI,SI,SI,NO,SI,SI,NO,-
202021,PSAA835017,0410070017,SI,SI,SI,NO,SI,SI,NO,-
202021,LTRA01602G,0590111762,SI,SI,SI,NO,SI,SI,NON DEFINITO,-
202021,BGIC890008,0162400732,NO,SI,NO,NO,SI,SI,NON DEFINITO,-
202021,AGPM01801R,0840311373,NO,SI,NO,NO,SI,NO,NON DEFINITO,-
202021,VIMM835013,0240951022,SI,NO,NO,NO,SI,SI,SI,-
202021,TRTD00701Q,0550320224,NO,NO,NO,NO,NO,NO,NON DEFINITO,-
202021,RMMM826015,0580911019,NO,SI,NO,NO,SI,NO,NON DEFINITO,-
202021,FGIC81600N,0710070027,SI,SI,SI,NO,SI,SI,NON DEFINITO,-
202021,BNMM83302B,0620170002,SI,NO,NO,NO,NO,NO,NON DEFINITO,-
202021,RMTF08151P,0580911673,NO,SI,SI,NO,SI,SI,NON DEFINITO,-
202021,AO1E010010,0070277800,SI,SI,SI,NO,SI,SI,NO,-
202021,POIS00100R,1000050091,NO,NO,NO,NO,SI,NO,NON DEFINITO,-
202021,SAAA8A4038,0650022068,NO,NO,NO,NO,NO,NO,NON DEFINITO,-
202021,PGAA86003D,0540182585,SI,NO,NO,NO,SI,SI,NON DEFINITO,-
202021,TPPM03101L,0810212492,SI,SI,SI,SI,SI,SI,NO,-
202021,AQIC82100B,0660510865,SI,SI,SI,NO,SI,NO,NON DEFINITO,-
202021,RMEE82903Q,0580910633,NO,SI,NO,NO,SI,SI,NON DEFINITO,-
202021,SAAA87101A,0651290008,NO,NO,NO,NO,NO,NO,NON DEFINITO,-
202021,NAAA8CL015,0630840009,SI,SI,NO,SI,SI,NO,NON DEFINITO,-
202021,PDTD04000D,0280324258,NO,NO,SI,NO,SI,NO,NON DEFINITO,-
202021,LUTF01851G,0460335055,NO,SI,NO,NO,SI,SI,NO,-
202021,RCTD013019,0800380975,NO,SI,SI,NO,SI,NO,NON DEFINITO,-
202021,BAEE168001,0720430481,SI,NO,NO,NO,NO,SI,NON DEFINITO,-
202021,GRMM82002L,0530260003,SI,NO,SI,NO,SI,SI,NON DEFINITO,-
202021,SAMM8A402B,0651471756,SI,SI,NO,NO,SI,SI,NON DEFINITO,-
202021,BSIC8AE003,0171970116,SI,NO,SI,NO,SI,SI,NON DEFINITO,-
202021,RMSD10102P,0580321583,NO,SI,NO,NO,SI,NO,NON DEFINITO,-
202021,RCMM86501L,0800880580,SI,SI,SI,NO,SI,NO,NO,-
202021,SOEE81203R,0140390001,SI,NO,SI,NO,SI,SI,NON DEFINITO,-
202021,ENRI00401Q,0860090734,SI,SI,SI,NO,SI,NO,NO,-
202021,VAEE809052,0120290316,SI,NO,SI,NO,SI,SI,NON DEFINITO,-
202021,PRAA812013,0340060221,SI,SI,SI,SI,SI,NO,NO,-
202021,AQTF01451A,0660060357,NO,SI,SI,SI,SI,NO,SI,-
202021,CTAA80307X,0870361432,SI,NO,SI,NO,SI,NO,NON DEFINITO,-
202021,NAIS08700R,0630490127,NO,NO,NO,NO,NO,NO,NON DEFINITO,-
202021,POAA80702D,1000060003,SI,SI,NO,NO,SI,SI,NO,-
202021,AGCT71400P,0840010065,NO,SI,NO,NO,SI,NO,NON DEFINITO,-
202021,BOAA868052,0370390251,SI,SI,NO,NO,SI,SI,NON DEFINITO,-
202021,PSMM82601L,0410660603,SI,SI,SI,NO,SI,SI,SI,-
202021,AQPC040007,0660490328,NO,SI,NO,NO,SI,NO,NO,-
202021,BNEE848059,0620160003,SI,NO,SI,NO,NO,SI,NON DEFINITO,-
202021,TOEE82704L,0012210003,SI,NO,NO,NO,SI,NO,NON DEFINITO,-
202021,TSAA820047,0320040008,SI,SI,NO,NO,SI,SI,NON DEFINITO,-
202021,RMTD08401E,0580911612,NO,SI,NO,SI,SI,SI,NON DEFINITO,-
202021,GEIS004005,0100250434,NO,SI,SI,SI,SI,NO,NO,-
202021,MSAA814034,0450148084,SI,SI,SI,SI,SI,NO,NO,-
202021,NAEE8FZ015,0630830014,NO,NO,NO,NO,NO,NO,NON DEFINITO,-
202021,PARA01601G,0820533437,NO,SI,NO,NO,SI,NO,NON DEFINITO,-
202021,GEIC82000V,0100120367,SI,SI,NO,NO,SI,NO,NON DEFINITO,-
202021,PESL011016,0680270234,SI,SI,SI,NO,SI,NO,NO,-
202021,PZRH02802C,0760480527,SI,SI,SI,NO,SI,SI,NO,-
202021,TPMM829012,0810183454,NO,NO,NO,NO,NO,NO,NON DEFINITO,-
