ANNOSCOLASTICO;CODICESCUOLA;CODICEEDIFICIO;codicescuola;DENOMINAZIONEISTITUTORIFERIMENTO;DENOMINAZIONESCUOLA;INDIRIZZOSCUOLA;CAPSCUOLA;SCUOLABUS;TRASPORTIPUBBLICIURBANI;TRASPORTIPUBBLICIINTERURBANI;TRASPORTIFERROVIARI;MEZZIPRIVATI;TRASPORTODISABILI;PISTACICLABILE;ALTRO
202021;MIAA81902A;151460009;MIAA81902A;IC I.CALVINO;VIA S.UGUZZONE;VIA S.UGUZZONE 10;20145;NO;SI;NO;NO;NO;NO;NON DEFINITO;-
202021;MIIC8CB00V;151460423;MIIC8CB00V;ICS JACOPO BAROZZI/MILANO;ICS JACOPO BAROZZI/MILANO;VIA BOCCONI 17;20136;NO;NO;NO;NO;NO;NO;NON DEFINITO;-
202021;MIAA8C101X;151460013;MIAA8C101X;IC G. BORSI/MILANO;VIA APPENNINI;VIA APPENNINI 189;20151;NO;SI;NO;NO;SI;SI;NON DEFINITO;-
202021;MIMM8DF01T;151461143;MIMM8DF01T;IC SANDRO PERTINI/MILANO;VIA ASTURIE-VIA MANN;VIA THOMAS MANN 8;20162;NO;SI;SI;NO;SI;SI;NON DEFINITO;-
202021;MIMM8CR017;151461117;MIMM8CR017;IC SORELLE AGAZZI/ MILANO;GANDHI - RODARI;P.ZZA GASPARRI 6 - VIA GABBRO 6/A;20161;NO;SI;NO;NO;SI;NO;NON DEFINITO;-
202021;MIEE8DW042;151460437;MIEE8DW042;I.C. VIA DE ANDREIS /MILANO;VIA MELERI - MILANO;VIA MELERI 14;20138;SI;SI;SI;NO;SI;SI;NON DEFINITO;-
202021;MIMM8DE012;151460405;MIMM8DE012;IST. OMNICOMPRENSIVO MUSICALE;"SCUOLA MEDIA ""G.VERDI""";VIA CORRIDONI 34/36;20122;SI;SI;SI;NO;SI;SI;NON DEFINITO;-
202021;MIPS02201V;151461464;MIPS02201V;SALVADOR ALLENDE;SALVADOR ALLENDE;VIA U. DINI7;20141;NO;NO;NO;NO;SI;NO;NON DEFINITO;-
202021;MIAA8C401B;151460382;MIAA8C401B;IC L.CADORNA/MILANO;LUIGI CADORNA;VIA CARLO DOLCI 5;20148;NO;NO;NO;NO;NO;NO;NON DEFINITO;-
202021;MIEE8C1048;151460464;MIEE8C1048;IC G. BORSI/MILANO;I.NIEVO;VIA SILLA 150;20153;NO;SI;NO;NO;SI;NO;NON DEFINITO;-
202021;MIMM8DD016;151460442;MIMM8DD016;I.C. VIA GIACOSA 46/MILANO;CASA DEL SOLE;VIA GIACOSA 46;20127;NO;SI;NO;NO;NO;NO;NON DEFINITO;-
202021;MIEE8CT021;151460373;MIEE8CT021;IC VITTORIO LOCCHI/MILANO;DUCA DEGLI ABRUZZI;VIA CESARI 38;20162;NO;NO;NO;NO;NO;NO;NON DEFINITO;-
202021;MIIC8GH008;151461008;MIIC8GH008;G.B. PERASSO - MILANO;G.B. PERASSO - MILANO;VIA BOTTEGO 4;20132;SI;SI;NO;NO;SI;SI;NON DEFINITO;-
